"id","cod_operacion","medio_pago","suma_prod","cant_prods","valor_compra","pagado","cambio","procesada","created_at","updated_at"
42,"620794",2,2,"[""1"", ""1""]","$1.100,00","0","0",1,"2022-07-12 11:57:03.0","2022-07-12 11:57:03.0"
43,"17",1,1,"[""1""]","$1.400,00","10.000","$8.600,00",1,"2022-07-12 13:59:10.0","2022-07-12 13:59:10.0"
44,"510071",2,3,"[""1"", ""1"", ""1""]","$2.400,00","0","0",1,"2022-07-12 14:07:57.0","2022-07-12 14:07:57.0"
45,"006408",2,278,"[""278""]","$2.307,00","0","0",1,"2022-07-12 14:20:36.0","2022-07-12 14:20:36.0"
46,"032647",2,3,"[""2"", ""1""]","$8.900,00","0","0",1,"2022-07-12 16:29:25.0","2022-07-12 16:29:25.0"
47,"220769",2,1,"[""1""]","$1.000,00","0","0",1,"2022-07-12 17:04:28.0","2022-07-12 17:04:28.0"
48,"003935",2,1,"[""1""]","$1.790,00","0","0",1,"2022-07-12 18:42:34.0","2022-07-12 18:42:34.0"
49,"18",1,3,"[""1"", ""2""]","$3.300,00","10.000","$6.700,00",1,"2022-07-12 19:07:40.0","2022-07-12 19:07:40.0"
50,"456603",2,3,"[""1"", ""1"", ""1""]","$5.800,00","0","0",1,"2022-07-12 20:05:42.0","2022-07-12 20:05:42.0"
51,"19",1,1,"[""1""]","$1.350,00","5.000","$3.650,00",1,"2022-07-13 19:10:09.0","2022-07-13 19:10:09.0"
52,"005563",2,2,"[""1"", ""1""]","$3.400,00","0","0",1,"2022-07-13 19:12:33.0","2022-07-13 19:12:33.0"
53,"833153",2,1,"[""1""]","$1.200,00","0","0",1,"2022-07-13 19:14:58.0","2022-07-13 19:14:58.0"
54,"002900",2,1,"[""1""]","$1.850,00","0","0",1,"2022-07-13 19:16:29.0","2022-07-13 19:16:29.0"
55,"007700",2,1,"[""1""]","$1.800,00","0","0",1,"2022-07-13 19:18:05.0","2022-07-13 19:18:05.0"
56,"20",1,3,"[""3""]","$3.000,00","10.000","$7.000,00",1,"2022-07-13 19:20:50.0","2022-07-13 19:20:50.0"
57,"21",1,2,"[""1"", ""1""]","$3.100,00","20.000","$16.900,00",1,"2022-07-13 19:21:30.0","2022-07-13 19:21:30.0"
58,"22",1,1,"[""1""]","$1.000,00","1.000","$0,00",1,"2022-07-13 19:23:07.0","2022-07-13 19:23:07.0"
